Brand ID,Brand name,Tracking URL,GEO,Currency
101194,"Aima Beauty_US","https://app.partnerboost.com/track/d290x86LB7T7KtVQLmOfcwSX7PUF_auMzbYYeB1EzUhhvt4EBx_bAnQhI42CSTSNZqN9DNzqKdIA_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FAimaBeauty%2Fpage%2F2AD06DA0-F9C3-4786-9C2D-6AF620D8AAD5%3Fref_%3Dast_bln%26store_ref%3Dbl_ast_dp_brandLogo_sto","CN","USD"
107156,"LEVENIS","https://app.partnerboost.com/track/f186GF1q9wW9AFBPmeZnrzqcGmh2r_aVaSk2yzoPSPVCCeE_aN79RghxGEdvwT9Jdy6O_aNmiqvIw_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fme%3DAV8M1DV5NL3C8%26marketplaceID%3DATVPDKIKX0DER","CN","USD"
106805,"Aimiliqi","https://app.partnerboost.com/track/36cd7Dy3KJoX_bZsUi6gpbGaskSerHkFqtIAy29p03hBEl78v2fkZ_bV_b_b_bB_bZ9TaOnLRhJ6Ti6ZxGlPx2?url=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fproduct%2FB0B23S7ZZR","CN","USD"
94667,"AVJONE","https://app.partnerboost.com/track/7d330EP66MguOj3p_a8g6WalzsfPBujxpsTYOi73XFtW6CpIwk8mG09qUlFI6_bm8hhI6WUm62oar94g_c_c?url=https%3A%2F%2Fwww.amazon.com%2Favjone","CN","USD"
103890,"Bestglory","https://app.partnerboost.com/track/d27cy9JtPl0bJBpFJmCAvLYQx8CM9N64dB_aee1gYSou5Pa0wx6y5SxkLBVd2t_b27UKVPxZHipm0wiIS1PQ_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FBestglory%2Fpage%2F2E701E33-AD47-46AF-AE37-B41E045DAA41%3Fref_%3Dast_bln","CN","USD"
123406,"MargGona","https://app.partnerboost.com/track/3b232CdgpNiB1H9V1o_a_bYdrro_bjIrCZsilTfYrj8EnIuqa0G4B9hmHmeb57NTtHYkI_bBSvmOM5wNtJQ_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2Fpage%2FF82AF071-8B2D-4C62-A742-9A3917EB3120","CN","USD"
112954,"Breezelle","https://app.partnerboost.com/track/e500CJdw0X3hX_anAn5l3n_amt0gw774HW5weJXIGiBxPQEPvki4LunA0UhmJSaJ34P24bS6sbuBh19QMXeA_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2Fpage%2F2919F5BD-10FC-4CD4-9C3E-797B1B28D03F","CN","USD"
117910,"BTremary","https://app.partnerboost.com/track/551bWAzaY_aZzo4pAMnfc9Mn_alKd5M64puDmiY71h_ajNKnjd1LSmvFdEw3so5W_axYTfKhHlZXT0lRizwy?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fme%3DA1ZSML1QS7XD21%26marketplaceID%3DATVPDKIKX0DER","CN","USD"
101703,"BYETOCE","https://app.partnerboost.com/track/3e1azgsnd6P4Uk3OGfWypELKJ0JcchzgD780myokAHEYNwY7eIkqX9alHsClFJ9qc8oCX6ZX_buzRRQk_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FBYETOCE%2Fpage%2F22428C4C-7CCE-449D-B0E5-05C79343F438%3Fref_%3Dast_bln","CN","USD"
135294,"CNBQDD","https://app.partnerboost.com/track/f3ffTS5su98475y7d_bCsfvtMhxesWsdQ1FNTOUWDyNO_a5CnNafOEStARpcaJuTwB8htQzVmm4pFs8g_c_c?url=https%3A%2F%2Fwww.amazon.com%2Fstores%2FCNBQDD%2Fpage%2FAA658B03-C002-4537-B450-A9E6C40673B8%3Flp_asin%3DB0F4Q67FFP%26ref_%3Dast_bln%26store_ref%3Dbl_ast_dp_brandLogo_sto","CN","USD"
